DATE	SAMPLING_GROUP	EXP_DAY	MANIPULATION_DAY	TREATMENT	AVIARY	ID	COLOR_RING	SAMPLING_TIME	BODY_MASS	VIDEO	CLOACA_HIGH1	CLOACA_HIGH2	CLOACA_HIGH3	CLOACA_WIDTH1	CLOACA_WIDTH2	CLOACA_WIDTH3	CLOACA_LENGTH1	CLOACA_LENGTH2	CLOACA_LENGTH3
18.05.14	1	1	0	Uninfected	10	N585203	blue	8	27.4	spvid_001	4.65	4.58	4.69	6.93	7.26	7.16	5.21	4.77	5
18.05.14	1	1	0	Uninfected	10	N585204	red	8	25.4	spvid_002	4.8	4.27	4.25	5.44	5.44	5.79	3.25	3.31	3.28
18.05.14	1	1	0	Uninfected	10	N585205	yellow	9	28.1	spvid_003	5.02	5.06	4.75	8.5	8.71	8.81	5.37	6.01	5.45
18.05.14	1	1	0	Uninfected	10	N566113	white	9	25.7	spvid_004	4.48	4.53	4.44	7.38	7.06	7.48	4.79	4.97	4.86
18.05.14	1	1	0	Infected	4	N566490	blue	10	26.9	spvid_005	4.31	4.34	4.26	5.8	6.06	5.71	4.16	4.72	4.89
18.05.14	1	1	0	Infected	4	N566493	yellow	10	25.9	spvid_006	4.67	4.85	4.73	7.84	8.9	7.93	5.41	5.99	5.44
18.05.14	1	1	0	Infected	4	N566182	red	10	26.4	spvid_007	5.03	5.05	5.06	7.58	8.07	8.02	5.4	5.07	5.56
18.05.14	1	1	0	Infected	4	N566492	white	11	27.3	spvid_008	5.48	5.34	5.14	6.71	7.32	7.52	4.65	4.94	4.86
18.05.14	1	1	0	Uninfected	14	N566198	red	11	26	spvid_009	4.38	4.2	4.56	6.56	6.43	6.37	6.05	6.16	6.34
18.05.14	1	1	0	Uninfected	14	N566199	white	11	26.4	spvid_010	4.65	5.11	4.78	7.3	8.37	8.44	4.51	4.3	4.79
18.05.14	1	1	0	Uninfected	14	N566404	yellow	11	27.2	spvid_011	4.75	5.32	4.81	7.94	7.84	7.83	4.8	5.05	4.59
18.05.14	1	1	0	Uninfected	14	N566160	blue	12	28.6	spvid_012	6.3	6.48	6.63	9.23	8.5	8.19	6.66	6.97	6.49
18.05.14	1	1	0	Infected	8	N585208	yellow	12	30.2	spvid_013	5.86	5.97	6.18	7.28	7.29	7.64	5.35	6.27	6.36
18.05.14	1	1	0	Infected	8	N585209	white	13	25.7	spvid_014	4.84	5.12	5.28	7.3	6.68	6.76	4.59	4.48	4.81
18.05.14	1	1	0	Infected	8	N585210	red	13	28.6	spvid_015	5.2	5.21	5.3	7.3	7.09	7.48	4.55	4.8	4.73
18.05.14	1	1	0	Infected	8	N566400	blue	13	26.8	spvid_016	5.43	5.37	5.71	7.39	7.95	7.56	4.84	4.97	4.74
18.05.14	1	1	0	Uninfected	2	N566484	blue	15	28.4	spvid_017	4.8	4.33	4.33	7.45	7.67	8.18	5.21	4.92	4.34
18.05.14	1	1	0	Uninfected	2	N566486	yellow	15	29.6	spvid_018	4.27	4.71	4.66	6.14	6.33	7.35	5.33	4.97	4.88
18.05.14	1	1	0	Uninfected	2	N566487	red	15	28.7	spvid_019	4.16	3.94	3.98	8.17	7.83	7.89	5.15	5.42	5.23
18.05.14	1	1	0	Uninfected	2	N566485	white	16	26.2	spvid_020	4.53	4.67	4.62	7.43	6.27	6.08	4.63	4.89	4.68
18.05.14	1	1	0	Infected	12	N566402	white	16	27.2	spvid_021	5.41	5.21	5.33	6.13	6.87	6.74	5.1	4.56	4.54
18.05.14	1	1	0	Infected	12	N566401	yellow	16	27.5	spvid_022	5.22	5.12	5.11	8.09	8.16	7.64	5.41	5.51	5.21
18.05.14	1	1	0	Infected	12	N566452	red	16	28	spvid_023	5.4	4.57	4.67	8.02	7.68	8.13	5.32	4.56	5.07
18.05.14	1	1	0	Infected	12	N566403	blue	17	26.7	spvid_024	5.74	5.58	5.24	6.55	6.53	6.48	4.83	4.85	4.91
18.05.14	1	1	0	Uninfected	6	N566495	blue	17	28.6	spvid_025	5.67	5.5	5.41	7.64	7.25	7.31	4.38	3.7	3.74
18.05.14	1	1	0	Uninfected	6	N566140	red	17	27.6	spvid_026	5.16	4.79	5.1	6.49	7.44	7.77	6.06	5.36	5.91
18.05.14	1	1	0	Uninfected	6	N566497	white	17	26.7	spvid_027	5.35	4.75	5.2	6.89	7.01	6.92	4.72	5.41	5.36
18.05.14	1	1	0	Uninfected	6	N566200	yellow	18	28.8	spvid_028	5.68	5.35	5.23	7.43	7.81	7.73	5.18	5.27	5.26
20.05.14	1	3	0	Uninfected	10	N585203	blue	8	27.9	spvid_029	4.7	4.63	4.3	7.85	8.08	7.83	5.69	5.6	5.1
20.05.14	1	3	0	Uninfected	10	N585204	red	8	25.7	spvid_030	4.8	4.58	4.61	7.35	6.79	6.65	4.76	4.22	4.74
20.05.14	1	3	0	Uninfected	10	N585205	yellow	8	28.6	spvid_031	5	5.06	5.37	8.32	8.42	8.62	5.63	6.05	5.97
20.05.14	1	3	0	Uninfected	10	N566113	white	9	25.3	spvid_032	5.15	4.99	4.88	7.44	6.76	6.61	4.46	4.74	4.86
20.05.14	1	3	0	Infected	4	N566490	blue	9	25.8	spvid_033	5.21	4.33	4.39	6.59	6.19	6.16	4.11	3.74	4.08
20.05.14	1	3	0	Infected	4	N566493	yellow	10	25.5	spvid_034	5.06	4.89	4.88	7.4	7.43	7.18	5.97	5.35	5.95
20.05.14	1	3	0	Infected	4	N566182	red	10	26.3	spvid_035	5.02	4.97	4.96	7.09	7.29	7.49	5.24	5.22	5.45
20.05.14	1	3	0	Infected	4	N566492	white	10	27.9	spvid_036	5.4	5.62	5.11	8.03	7.88	8.04	5	5.55	5.44
20.05.14	1	3	0	Uninfected	14	N566198	red	11	27.1	spvid_037	5.44	4.97	4.82	6.57	6.39	6.81	6.13	6.58	6.77
20.05.14	1	3	0	Uninfected	14	N566199	white	11	27.1	spvid_038	5.65	4.85	4.17	7.52	7.86	7.55	5.24	5.01	5.08
20.05.14	1	3	0	Uninfected	14	N566404	yellow	11	27.6	spvid_039	5.12	5.38	5.13	7.38	6.98	6.97	5.2	4.94	4.89
20.05.14	1	3	0	Uninfected	14	N566160	blue	12	29.5	spvid_040	6.77	6.17	6.66	8.12	8.41	8.66	7.9	6.97	7.08
20.05.14	1	3	0	Infected	8	N585208	yellow	12	30.2	spvid_041	5.03	5.02	5.06	7.36	7.87	7.25	5.32	6.13	6.3
20.05.14	1	3	0	Infected	8	N585209	white	12	29.5	spvid_042	5.89	6.04	5.72	7.9	7.75	7.64	5.49	5.77	5.87
20.05.14	1	3	0	Infected	8	N585210	red	13	28.9	spvid_043	5.13	5.12	5.01	8.47	8.56	8.62	6.31	6.9	6.09
20.05.14	1	3	0	Infected	8	N566400	blue	13	27.3	spvid_044	5.52	5.25	5.01	7.39	7.82	7.69	5.65	6.02	5.21
