sperm_video	frames	ratio	prop.motile	vcl	vap	vsl	lin	wob	prog	bcf	sperm.track
100	10	5	0.33333334	24.16068	22.329107	20.107538	0.9005079	0.92419195	140.88708	9.69708	39
100	10	8	0.6621622	68.59641	66.43663	54.027874	0.8132242	0.96851456	196.75726	5.4507375	74
100	10	11	0.6666667	74.355705	73.59951	65.454445	0.88933265	0.98982996	431.65015	5.3112817	75
100	10	14	0.65753424	73.444695	72.57144	65.91121	0.9082252	0.98811	484.03223	5.6561985	73
100	10	17	0.65753424	73.444695	72.57144	65.91121	0.9082252	0.98811	484.03223	5.6561985	73
100	10	20	0.65753424	73.444695	72.57144	65.91121	0.9082252	0.98811	484.03223	5.6561985	73
100	10	23	0.65753424	73.444695	72.57144	65.91121	0.9082252	0.98811	484.03223	5.6561985	73
100	13	5	0.31578946	23.912363	22.335852	20.664906	0.92519003	0.93407124	151.08974	9.810724	38
100	13	8	0.537037	57.4932	54.58373	48.39672	0.88665104	0.9493946	246.73203	6.7365503	54
100	13	11	0.6268657	72.07418	71.46367	66.16465	0.92585015	0.9915294	490.90433	5.8694396	67
100	13	14	0.6268657	72.579	72.50386	67.79014	0.93498665	0.99896467	538.5417	5.85836	67
100	13	17	0.6268657	72.579	72.50386	67.79014	0.93498665	0.99896467	538.5417	5.85836	67
100	13	20	0.6268657	72.579	72.50386	67.79014	0.93498665	0.99896467	538.5417	5.85836	67
100	13	23	0.6268657	72.579	72.50386	67.79014	0.93498665	0.99896467	538.5417	5.85836	67
100	16	5	0.30555555	23.705294	22.141537	20.615002	0.93105555	0.93403345	158.01105	10.020791	36
100	16	8	0.41463414	40.026558	37.632275	34.675564	0.9214316	0.9401826	264.64313	8.852873	41
100	16	11	0.6	68.86121	69.013435	64.71236	0.93767756	1.0022105	530.0232	6.2590556	60
100	16	14	0.61904764	71.73914	72.10648	67.75457	0.93964595	1.0051205	560.9849	5.8996897	63
100	16	17	0.61904764	71.73914	72.10648	67.75457	0.93964595	1.0051205	560.9849	5.8996897	63
100	16	20	0.61904764	71.73914	72.10648	67.75457	0.93964595	1.0051205	560.9849	5.8996897	63
100	16	23	0.61904764	71.73914	72.10648	67.75457	0.93964595	1.0051205	560.9849	5.8996897	63
100	19	5	0.2647059	21.6541	19.609251	18.4816	0.9424939	0.9055676	160.72409	10.1643	34
100	19	8	0.35135135	35.749702	32.66107	30.786755	0.94261307	0.913604	274.9369	9.234625	37
100	19	11	0.5555556	68.83322	68.87173	65.35283	0.94890654	1.0005593	575.589	6.083516	54
100	19	14	0.57894737	72.23696	72.54003	68.88995	0.9496819	1.0041956	608.0378	5.6747694	57
100	19	17	0.57894737	72.23696	72.54003	68.88995	0.9496819	1.0041956	608.0378	5.6747694	57
100	19	20	0.57894737	72.23696	72.54003	68.88995	0.9496819	1.0041956	608.0378	5.6747694	57
100	19	23	0.57894737	72.23696	72.54003	68.88995	0.9496819	1.0041956	608.0378	5.6747694	57
100	22	5	0.27272728	21.6541	19.609251	18.4816	0.9424939	0.9055676	160.72409	10.1643	33
100	22	8	0.35135135	35.749702	32.66107	30.786755	0.94261307	0.913604	274.9369	9.234625	37
100	22	11	0.5471698	68.143425	68.03559	64.60875	0.9496316	0.9984175	574.8188	6.2394133	53
100	22	14	0.5714286	71.71819	71.89692	68.326164	0.950335	1.002492	608.3538	5.8032775	56
100	22	17	0.5714286	71.71819	71.89692	68.326164	0.950335	1.002492	608.3538	5.8032775	56
100	22	20	0.5714286	71.71819	71.89692	68.326164	0.950335	1.002492	608.3538	5.8032775	56
100	22	23	0.5714286	71.71819	71.89692	68.326164	0.950335	1.002492	608.3538	5.8032775	56
150	10	5	0.5818815	33.04018	23.95948	20.260643	0.84562117	0.7251619	135.11053	11.391336	287
150	10	8	0.65909094	46.92024	32.902267	27.91286	0.8483567	0.70123833	187.2961	11.7613735	352
150	10	11	0.64912283	45.882183	32.177483	28.165905	0.87532973	0.70130664	213.92412	12.308055	342
150	10	14	0.65102637	45.595062	31.977968	28.053173	0.87726563	0.7013472	215.40721	12.397609	341
150	10	17	0.6539589	45.571125	31.864782	27.93176	0.87657154	0.69923186	213.15956	12.391498	341
150	10	20	0.6539589	45.663338	32.01323	28.063457	0.87662065	0.7010707	214.63606	12.378959	341
150	10	23	0.6539589	45.814476	32.123497	28.13225	0.87575305	0.7011647	215.7053	12.37362	341
150	13	5	0.56031126	30.97326	22.602802	19.839441	0.8777425	0.7297521	149.75961	12.022376	257
150	13	8	0.63782054	43.83358	30.834087	27.227634	0.88303685	0.7034353	207.91466	12.558421	312
150	13	11	0.6446541	45.259533	31.710295	28.213488	0.88972646	0.7006324	226.70303	12.686064	318
150	13	14	0.6477987	45.147446	31.634647	28.167782	0.89040923	0.7006963	227.63907	12.738328	318
150	13	17	0.6509434	45.087566	31.53533	28.076485	0.8903184	0.6994241	226.69856	12.731687	318
150	13	20	0.6509434	45.087566	31.53533	28.076485	0.8903184	0.6994241	226.69856	12.731687	318
150	13	23	0.6509434	45.25039	31.65412	28.150593	0.88931847	0.69953257	227.85045	12.725936	318
150	16	5	0.53846157	29.291027	21.402693	19.084797	0.8917007	0.73069113	164.07315	12.291668	221
150	16	8	0.6236162	42.338978	29.750261	26.573708	0.893226	0.70266837	225.80846	12.958317	271
150	16	11	0.6433566	45.685516	31.677362	28.339676	0.89463496	0.6933787	242.121	12.993882	286
150	16	14	0.6480836	45.81057	31.76339	28.423346	0.8948461	0.6933638	242.71034	13.020574	287
150	16	17	0.6480836	45.81057	31.76339	28.423346	0.8948461	0.6933638	242.71034	13.020574	287
150	16	20	0.6480836	45.81057	31.76339	28.423346	0.8948461	0.6933638	242.71034	13.020574	287
150	16	23	0.6480836	45.99177	31.895592	28.50582	0.8937229	0.6935064	243.99228	13.014173	287
150	19	5	0.51941746	29.034115	21.201246	18.980171	0.89523846	0.73021847	170.83017	12.378116	206
150	19	8	0.60714287	42.15083	29.485106	26.423561	0.89616644	0.6995142	234.19702	13.103835	252
150	19	11	0.62781954	45.6364	31.598082	28.379274	0.8981328	0.6923877	252.33826	13.158242	266
150	19	14	0.6329588	45.774612	31.6937	28.47089	0.8983138	0.692386	252.86597	13.185674	267
150	19	17	0.6329588	45.774612	31.6937	28.47089	0.8983138	0.692386	252.86597	13.185674	267
150	19	20	0.6329588	45.774612	31.6937	28.47089	0.8983138	0.692386	252.86597	13.185674	267
150	19	23	0.6329588	45.974045	31.839201	28.561663	0.8970597	0.6925473	254.27687	13.17863	267
150	22	5	0.52307695	28.551067	20.984825	18.82472	0.8970635	0.7349927	172.29117	12.36367	195
150	22	8	0.6075949	40.87928	28.687012	25.783087	0.8987721	0.7017494	234.9375	13.086282	237
150	22	11	0.628	44.46814	30.919924	27.851307	0.90075606	0.6953276	254.24744	13.165378	250
150	22	14	0.63095236	44.62974	31.030087	27.955326	0.9009104	0.6952782	254.78433	13.186957	252
150	22	17	0.63095236	44.62974	31.030087	27.955326	0.9009104	0.6952782	254.78433	13.186957	252
150	22	20	0.63095236	44.62974	31.030087	27.955326	0.9009104	0.6952782	254.78433	13.186957	252
150	22	23	0.63095236	44.720097	31.151178	28.051807	0.90050554	0.6965812	256.28397	13.17947	252
200	10	5	0.38926175	22.340141	21.621489	19.754656	0.9136585	0.9678314	170.85571	7.642777	149
200	10	8	0.57345974	55.003735	52.00556	45.175774	0.868672	0.94549143	253.99109	6.7864566	211
200	10	11	0.6348548	65.6494	66.35678	60.273373	0.90832275	1.0107751	457.66614	6.0417933	241
200	10	14	0.6393443	66.86304	68.349556	62.236217	0.9105578	1.0222323	493.12927	6.015957	244
200	10	17	0.6393443	66.86304	68.349556	62.236217	0.9105578	1.0222323	493.12927	6.015957	244
200	10	20	0.6393443	66.86304	68.349556	62.236217	0.9105578	1.0222323	493.12927	6.015957	244
200	10	23	0.63786006	66.7595	68.173096	61.898468	0.9079604	1.0211744	495.5214	6.0568643	243
200	13	5	0.38405797	22.18874	21.4284	19.937428	0.93042076	0.96573305	184.06082	8.0156355	138
200	13	8	0.5618557	53.942844	50.987274	45.422348	0.89085656	0.9452092	274.0586	6.9098973	194
200	13	11	0.63274336	65.74684	66.334595	60.950314	0.9188315	1.0089396	483.38437	6.165801	226
200	13	14	0.6343612	66.373665	67.822296	62.737404	0.92502624	1.0218254	526.2694	6.152841	227
200	13	17	0.6343612	66.373665	67.822296	62.737404	0.92502624	1.0218254	526.2694	6.152841	227
200	13	20	0.6343612	66.373665	67.822296	62.737404	0.92502624	1.0218254	526.2694	6.152841	227
200	13	23	0.6343612	66.54447	67.93166	62.51713	0.92029446	1.020846	526.2614	6.155096	227
200	16	5	0.40458015	22.18874	21.4284	19.937428	0.93042076	0.96573305	184.06082	8.0156355	131
200	16	8	0.5611111	51.407257	48.46222	43.433052	0.896225	0.9427116	272.89886	6.8521557	180
200	16	11	0.6262136	62.700253	62.66115	58.049286	0.92639995	0.99937636	499.66473	6.221039	206
200	16	14	0.6298077	64.422615	65.420265	60.986263	0.93222284	1.015486	548.81555	6.16797	208
200	16	17	0.6298077	64.422615	65.420265	60.986263	0.93222284	1.015486	548.81555	6.16797	208
200	16	20	0.6298077	64.422615	65.420265	60.986263	0.93222284	1.015486	548.81555	6.16797	208
200	16	23	0.6315789	64.68423	65.5972	60.754356	0.926173	1.0141144	546.6235	6.1753554	209
200	19	5	0.40336135	22.221252	21.507263	20.107714	0.9349267	0.96786904	193.96922	8.013544	119
200	19	8	0.432	26.307974	25.33721	23.679234	0.93456364	0.96309996	231.10455	7.8727093	125
200	19	11	0.59887004	58.484444	59.172173	55.363956	0.93564177	1.0117592	530.73145	6.6141	177
200	19	14	0.62032086	62.316536	63.49811	59.502975	0.9370826	1.0189608	572.2604	6.3409076	187
200	19	17	0.62032086	62.316536	63.49811	59.502975	0.9370826	1.0189608	572.2604	6.3409076	187
200	19	20	0.62032086	62.316536	63.49811	59.502975	0.9370826	1.0189608	572.2604	6.3409076	187
200	19	23	0.62234044	62.629692	63.714165	59.254013	0.9299975	1.0173156	569.5869	6.347762	188
200	22	5	0.4	22.127674	21.367186	20.00576	0.9362843	0.96563184	195.34514	8.257964	115
200	22	8	0.42975205	26.382374	25.360601	23.726412	0.9355619	0.96127063	233.74998	8.08351	121
200	22	11	0.58433735	56.455856	57.12954	53.62427	0.9386435	1.011933	532.63586	6.8856525	166
200	22	14	0.60795456	60.799862	62.010242	58.274025	0.93974835	1.0199076	577.47986	6.564103	176
200	22	17	0.60795456	60.799862	62.010242	58.274025	0.93974835	1.0199076	577.47986	6.564103	176
200	22	20	0.60795456	60.799862	62.010242	58.274025	0.93974835	1.0199076	577.47986	6.564103	176
200	22	23	0.6101695	61.153156	62.258076	58.015694	0.9318581	1.0180681	574.5353	6.569462	177
250	10	5	1	23.529242	21.149025	19.060226	0.90123427	0.89884	155.93721	8.778322	9
250	10	8	1	73.54913	73.5644	60.014194	0.8158049	1.0002075	255.70421	5.2581	34
250	10	11	1	108.62999	107.93145	90.80961	0.8413637	0.99356955	515.66327	3.4088871	194
250	10	14	1	112.44004	110.40351	95.4694	0.86473155	0.9818879	608.0329	3.4586265	213
250	10	17	1	112.36257	110.21536	95.42543	0.8658088	0.98089033	611.52014	3.5021758	212
250	10	20	1	112.656204	110.416595	95.27736	0.8628898	0.98012	610.85724	3.5450742	213
250	10	23	1	112.89555	110.28632	95.40744	0.8650886	0.97688806	621.9821	3.5765097	211
250	13	5	1	23.529242	21.149025	19.060226	0.90123427	0.89884	155.93721	8.778322	9
250	13	8	1	66.16429	65.728455	57.29794	0.87173724	0.9934128	294.78467	5.61682	26
250	13	11	1	105.96907	104.17956	93.275406	0.8953331	0.9831129	628.9937	3.586433	148
250	13	14	1	111.20442	108.79141	97.83087	0.8992518	0.9783011	699.1491	3.50067	177
250	13	17	1	111.28185	108.74074	97.82691	0.8996344	0.97716504	701.07855	3.5433793	177
250	13	20	1	111.34462	108.75483	97.6515	0.897905	0.9767407	702.9358	3.5677083	177
250	13	23	1	111.73044	108.87184	97.59946	0.8964619	0.97441524	708.2166	3.56098	178
250	16	5	1	23.831278	22.47812	20.61024	0.91690236	0.9432193	184.64868	8.883817	7
250	16	8	1	54.781727	53.529022	48.72482	0.9102504	0.97713286	349.68655	6.7443676	14
250	16	11	1	105.85462	103.67281	94.921616	0.9155883	0.97938865	745.04474	3.8873143	107
250	16	14	1	111.70634	108.93555	99.88673	0.91693413	0.97519577	811.24524	3.6611593	136
250	16	17	1	111.953545	108.969604	99.86536	0.9164515	0.97334665	809.9473	3.6896145	137
250	16	20	1	112.08453	109.05424	99.66637	0.9139156	0.9729642	809.62256	3.722629	138
250	16	23	1	112.5672	109.25126	99.560005	0.91129386	0.97054255	809.4137	3.7211006	141
250	19	5	1	23.831278	22.47812	20.61024	0.91690236	0.9432193	184.64868	8.883817	7
250	19	8	1	42.547417	41.980186	38.67158	0.92118645	0.9866683	331.67346	7.956767	10
250	19	11	1	104.04076	101.621666	93.700485	0.9220522	0.97674865	796.21387	3.789736	88
250	19	14	1	110.59627	107.93391	99.43385	0.9212476	0.9759272	857.2248	3.74089	117
250	19	17	1	110.71687	107.80118	99.302	0.9211588	0.97366536	858.44476	3.7571702	117
250	19	20	1	110.88055	107.910065	99.07406	0.918117	0.97321004	857.6539	3.7952077	118
250	19	23	1	111.47285	108.168015	98.9648	0.91491747	0.970353	856.21967	3.7916274	121
250	22	5	1	23.831278	22.47812	20.61024	0.91690236	0.9432193	184.64868	8.883817	7
250	22	8	1	37.687557	36.62999	33.859886	0.9243761	0.97193855	311.14978	8.100111	9
250	22	11	1	102.198074	100.009285	92.71712	0.9270851	0.97858286	845.3048	3.717143	69
250	22	14	1	109.66317	107.20547	99.14132	0.9247785	0.97758865	904.64465	3.6176705	96
250	22	17	1	109.940506	107.22869	99.10748	0.9242627	0.9753338	903.83215	3.6171937	97
250	22	20	1	110.14551	107.36563	98.835	0.920546	0.97476184	902.41675	3.6474156	98
250	22	23	1	110.77906	107.58988	98.677795	0.9171661	0.9712114	902.0632	3.6339912	100
300	10	5	0.5	34.457222	32.048397	27.375914	0.8542054	0.9300923	145.93842	8.709384	46
300	10	8	0.87431693	79.21719	77.13575	65.50209	0.8491794	0.97372484	352.3663	5.75977	183
300	10	11	0.9169675	91.113914	89.83003	77.10688	0.85836416	0.98590904	481.0209	5.2305074	277
300	10	14	0.9172662	91.89957	90.95251	78.06996	0.8583597	0.98969465	488.99454	5.2497663	278
300	10	17	0.9175627	92.15173	90.76354	77.78854	0.8570461	0.9849358	487.13876	5.2920384	279
300	10	20	0.9175627	92.6812	90.90083	77.78208	0.85568064	0.98079044	488.15887	5.3513947	279
300	10	23	0.9211469	92.6493	90.70016	77.53644	0.85486555	0.9789622	488.2569	5.3803263	279
300	13	5	0.47619048	34.735527	32.08762	28.040272	0.87386566	0.92376953	161.31535	8.9815645	42
300	13	8	0.8513514	78.97443	77.18719	68.202225	0.8835951	0.9773695	418.23102	6.024941	148
300	13	11	0.9039301	90.842415	89.78689	79.917816	0.89008343	0.9883806	561.19196	5.4539084	229
300	13	14	0.90434784	90.964096	89.85647	80.00048	0.8903141	0.9878235	569.0189	5.557432	230
300	13	17	0.90434784	91.19324	89.88846	79.89219	0.8887925	0.9856922	568.60876	5.547631	230
300	13	20	0.9047619	91.7097	89.95805	79.716484	0.8861517	0.98090005	567.5219	5.604614	231
300	13	23	0.90909094	91.675285	89.71695	79.40665	0.8850796	0.97863835	567.264	5.630878	231
300	16	5	0.3939394	32.213024	30.295145	27.018084	0.89182884	0.9404625	190.77696	8.270978	33
300	16	8	0.8113208	79.332436	77.343414	69.91401	0.90394264	0.97492796	508.18478	5.7518635	106
300	16	11	0.88372093	91.54178	89.367874	81.381096	0.9106303	0.9762524	665.0764	5.5874286	172
300	16	14	0.88439304	91.6181	89.41901	81.40012	0.91032237	0.9759971	674.1507	5.6849	173
