Sperm_video	vcl	vap	vsl	lin	wob	prog	bcf	
50	100.6371	72.01167	63.818523	0.8862247	0.7155579	4.938597	17.857143	
50	98.60363	87.966446	82.13859	0.9337491	0.8921218	8.33872	14.285714	
50	2.725733	0.8147321	0.4385427	0.5382661	0.29890382	6.10511	18.055555	
50	75.92325	52.32509	48.200676	0.92117715	0.689184	8.017102	12.5	
50	101.40041	86.40033	80.84999	0.9357602	0.8520708	8.600859	5.952381	
50	93.57112	77.1563	71.59145	0.92787564	0.82457393	8.47836	11.904762	
50	55.970505	46.290874	41.060932	0.88702005	0.8270584	3.851875	6.25	
50	1.6858641	0.5314767	0.18647926	0.35087004	0.31525475	3.3794158	18.421053	
50	6.6152225	3.6960504	1.2577033	0.34028304	0.558719	2.342215	20	
50	92.796265	64.69106	58.48211	0.9040215	0.69713	8.125521	16.666666	
50	9.22328	8.415814	7.8677683	0.93487906	0.9124535	8.689225	13.75	
50	89.373764	58.020813	53.88979	0.928801	0.6491929	6.7126064	18.055555	
50	81.116486	55.0455	49.858665	0.9057718	0.6785982	8.187668	16.666666	
50	92.92416	59.44096	52.526104	0.8836685	0.63967174	8.004828	17.857143	
50	97.248795	83.32999	77.37178	0.9284987	0.8568742	8.313329	14.285714	
50	110.79899	78.73298	71.41246	0.907021	0.7105929	8.151055	17.857143	
50	101.11089	96.67919	89.2048	0.9226887	0.95616996	8.369694	7.142857	
50	10.954918	9.612915	9.134714	0.9502544	0.8774976	8.577838	15.476191	
50	99.40146	71.8148	66.63922	0.92793167	0.7224722	8.057054	13.095238	
50	109.729935	68.1867	60.122944	0.8817401	0.6214047	7.951885	14.285714	
50	1.5992553	0.6833778	0.35287058	0.51636237	0.42731002	4.1551847	17.647058	
50	102.97687	76.86289	71.3588	0.9283908	0.7464093	8.131046	19.047619	
50	103.68416	74.209465	67.83119	0.9140504	0.7157262	8.343032	15.476191	
50	20.698032	10.570815	9.52551	0.9011141	0.5107159	8.105323	13.095238	
50	107.50437	69.43919	64.97241	0.93567353	0.64591974	8.40124	17.857143	
50	14.287869	9.5291	8.445403	0.886275	0.6669364	7.711838	10.714286	
50	30.967354	23.818651	22.823856	0.95823467	0.7691536	8.565545	16.666666	
50	121.524734	91.24425	83.47813	0.9148865	0.7508286	8.353242	11.904762	
50	106.63883	98.962296	92.051544	0.93016785	0.9280137	8.466926	10.714286	
50	29.256994	25.367193	23.843216	0.9399233	0.86704713	8.86215	11.904762	
50	111.85379	87.15448	81.5838	0.9360827	0.7791822	8.409606	16.666666	
50	22.360798	16.08072	14.7724285	0.91864216	0.719148	7.5434637	15.476191	
50	98.25799	80.73381	75.19732	0.9314229	0.8216514	8.386476	14.285714	
50	15.369705	13.850605	11.58057	0.8361057	0.90116274	8.683137	9.523809	
50	106.460815	81.568436	75.88761	0.9303551	0.7661827	8.554397	14.285714	
50	12.176403	10.187136	8.045761	0.7897962	0.8366293	7.98564	11.904762	
50	111.00478	107.39534	97.803116	0.9106831	0.9674839	8.361881	5.952381	
50	97.2758	72.52959	67.243675	0.92712057	0.74560773	8.367727	15.476191	
50	12.949822	12.349926	11.494748	0.93075436	0.9536753	8.265508	8.333333	
50	104.49242	104.033875	96.33039	0.9259522	0.9956117	5.9920373	1.5625	
50	12.194664	11.067125	10.414127	0.9409966	0.90753835	8.536752	11.904762	
50	83.681656	59.21195	55.63752	0.9396333	0.70758575	8.44555	15.476191	
50	14.79682	14.657325	13.416348	0.91533405	0.99057263	4.8550553	3.125	
50	115.05501	84.88777	77.34778	0.9111769	0.7378017	8.156912	15.476191	
50	103.47777	82.4418	77.298744	0.9376158	0.7967104	8.430706	11.904762	
50	12.460853	11.890203	11.18846	0.9409814	0.9542046	8.11113	13.095238	
50	118.28008	108.39516	101.42009	0.9356515	0.91642785	8.388632	9.523809	
